team,pistol_win,eco_round,eco_win,semi_eco_round,semi_eco_win,semi_buy_round,semi_buy_win,buy_round,buy_win,game_id,tourney_type,map,match_id,total_round,ot,win_lose
GEN,1.0,3.0,1.0,2.0,1.0,5.0,2.0,10.0,3.0,119617.0,League Play: Week 8,Split,184493.0,20,No,lose
PRX,2.0,2.0,2.0,0.0,0.0,5.0,4.0,8.0,7.0,119618.0,League Play: Week 8,Ascent,184493.0,15,No,win
GEN,0.0,4.0,0.0,2.0,0.0,2.0,0.0,7.0,2.0,119618.0,League Play: Week 8,Ascent,184493.0,15,No,lose
ZETA,0.0,4.0,0.0,0.0,0.0,8.0,5.0,12.0,6.0,119620.0,League Play: Week 8,Fracture,184494.0,24,Yes,lose
T1,2.0,2.0,2.0,2.0,1.0,7.0,3.0,13.0,7.0,119620.0,League Play: Week 8,Fracture,184494.0,24,Yes,win
ZETA,1.0,3.0,1.0,1.0,0.0,8.0,3.0,11.0,9.0,119621.0,League Play: Week 8,Lotus,184494.0,23,No,win
T1,1.0,2.0,1.0,3.0,0.0,7.0,2.0,11.0,7.0,119621.0,League Play: Week 8,Lotus,184494.0,23,No,lose
ZETA,0.0,4.0,0.0,0.0,0.0,6.0,0.0,6.0,3.0,119622.0,League Play: Week 8,Bind,184494.0,16,No,lose
T1,2.0,2.0,2.0,1.0,1.0,5.0,3.0,8.0,7.0,119622.0,League Play: Week 8,Bind,184494.0,16,No,win
TS,0.0,4.0,0.0,2.0,2.0,0.0,0.0,15.0,11.0,119623.0,League Play: Week 8,Haven,184495.0,21,No,win
DRX,2.0,3.0,2.0,1.0,0.0,6.0,3.0,11.0,3.0,119623.0,League Play: Week 8,Haven,184495.0,21,No,lose
TS,1.0,3.0,1.0,2.0,0.0,2.0,1.0,17.0,11.0,119624.0,League Play: Week 8,Ascent,184495.0,24,Yes,win
DRX,1.0,4.0,1.0,1.0,0.0,3.0,2.0,16.0,8.0,119624.0,League Play: Week 8,Ascent,184495.0,24,Yes,lose
GES,2.0,2.0,2.0,1.0,0.0,8.0,5.0,9.0,6.0,119626.0,League Play: Week 8,Lotus,184496.0,20,No,win
DFM,0.0,4.0,0.0,0.0,0.0,3.0,2.0,13.0,5.0,119626.0,League Play: Week 8,Lotus,184496.0,20,No,lose
GES,2.0,3.0,2.0,1.0,0.0,8.0,6.0,7.0,5.0,119627.0,League Play: Week 8,Pearl,184496.0,19,No,win
DFM,0.0,3.0,0.0,2.0,0.0,4.0,2.0,10.0,4.0,119627.0,League Play: Week 8,Pearl,184496.0,19,No,lose
TLN,1.0,3.0,1.0,0.0,0.0,2.0,2.0,11.0,10.0,119629.0,League Play: Week 8,Split,184497.0,16,No,win
RRQ,1.0,3.0,1.0,1.0,0.0,6.0,2.0,6.0,0.0,119629.0,League Play: Week 8,Split,184497.0,16,No,lose
TLN,0.0,5.0,1.0,1.0,0.0,2.0,0.0,9.0,3.0,119630.0,League Play: Week 8,Ascent,184497.0,17,No,lose
RRQ,2.0,2.0,2.0,1.0,1.0,3.0,1.0,11.0,9.0,119630.0,League Play: Week 8,Ascent,184497.0,17,No,win
TLN,1.0,3.0,1.0,3.0,1.0,4.0,2.0,10.0,3.0,119631.0,League Play: Week 8,Haven,184497.0,20,No,lose
RRQ,1.0,3.0,1.0,1.0,1.0,5.0,4.0,11.0,7.0,119631.0,League Play: Week 8,Haven,184497.0,20,No,win
ZETA,1.0,3.0,1.0,1.0,0.0,6.0,4.0,11.0,8.0,119632.0,League Play: Week 8,Haven,184498.0,21,No,win
GEN,1.0,3.0,1.0,4.0,0.0,3.0,2.0,11.0,5.0,119632.0,League Play: Week 8,Haven,184498.0,21,No,lose
ZETA,2.0,3.0,2.0,2.0,0.0,11.0,2.0,1.0,0.0,119633.0,League Play: Week 8,Ascent,184498.0,17,No,lose
GEN,0.0,4.0,1.0,0.0,0.0,0.0,0.0,13.0,12.0,119633.0,League Play: Week 8,Ascent,184498.0,17,No,win
