team,pb_phase,map,tourney_type,match_id,game_id
T1,ban,Split,Playoffs: Upper Semifinals,184516,0
PRX,ban,Haven,Playoffs: Upper Semifinals,184516,0
T1,pick,Lotus,Playoffs: Upper Semifinals,184516,119686
PRX,pick,Fracture,Playoffs: Upper Semifinals,184516,119687
T1,ban,Ascent,Playoffs: Upper Semifinals,184516,0
PRX,ban,Pearl,Playoffs: Upper Semifinals,184516,0
ZETA,ban,Pearl,Playoffs: Lower Round 1,184517,0
T1,ban,Split,Playoffs: Lower Round 1,184517,0
ZETA,pick,Haven,Playoffs: Lower Round 1,184517,119689
T1,pick,Bind,Playoffs: Lower Round 1,184517,119690
ZETA,ban,Lotus,Playoffs: Lower Round 1,184517,0
T1,ban,Ascent,Playoffs: Lower Round 1,184517,0
GEN,ban,Fracture,Playoffs: Lower Round 1,184518,0
TS,ban,Pearl,Playoffs: Lower Round 1,184518,0
GEN,pick,Ascent,Playoffs: Lower Round 1,184518,119692
TS,pick,Haven,Playoffs: Lower Round 1,184518,119693
GEN,ban,Lotus,Playoffs: Lower Round 1,184518,0
TS,ban,Bind,Playoffs: Lower Round 1,184518,0
PRX,ban,Haven,Playoffs: Upper Final,184519,0
DRX,ban,Lotus,Playoffs: Upper Final,184519,0
PRX,pick,Fracture,Playoffs: Upper Final,184519,119695
DRX,pick,Bind,Playoffs: Upper Final,184519,119696
PRX,ban,Split,Playoffs: Upper Final,184519,0
DRX,ban,Ascent,Playoffs: Upper Final,184519,0
T1,ban,Split,Playoffs: Lower Round 2,184520,0
GEN,ban,Pearl,Playoffs: Lower Round 2,184520,0
T1,pick,Fracture,Playoffs: Lower Round 2,184520,119698
GEN,pick,Ascent,Playoffs: Lower Round 2,184520,119699
T1,ban,Haven,Playoffs: Lower Round 2,184520,0
GEN,ban,Bind,Playoffs: Lower Round 2,184520,0
DRX,ban,Lotus,Playoffs: Lower Final,184521,0
T1,ban,Split,Playoffs: Lower Final,184521,0
DRX,pick,Ascent,Playoffs: Lower Final,184521,119701
T1,pick,Fracture,Playoffs: Lower Final,184521,119702
DRX,pick,Haven,Playoffs: Lower Final,184521,119703
T1,pick,Bind,Playoffs: Lower Final,184521,119704
PRX,ban,Haven,Playoffs: Grand Final,184522,0
PRX,ban,Split,Playoffs: Grand Final,184522,0
PRX,pick,Fracture,Playoffs: Grand Final,184522,119706
DRX,pick,Ascent,Playoffs: Grand Final,184522,119708
PRX,pick,Lotus,Playoffs: Grand Final,184522,119712
DRX,pick,Pearl,Playoffs: Grand Final,184522,119714
