player,opponent,team,opponent_team,kill,death,tourney_type,match_id,map,game_id,total_round,ot,win_lose,agent,role_agent
t3xture,Carpe,GES,T1,7.0,5.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Jett,Duelist
Bazzi,Carpe,GES,T1,3.0,4.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Fade,Initiator
AYRIN,Munchkin,GES,T1,3.0,3.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Killjoy,Sentinel
Monyet,Munchkin,GES,T1,6.0,3.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Astra,Controller
WRONSKI,Munchkin,GES,T1,3.0,7.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Kayo,Initiator
t3xture,Munchkin,GES,T1,2.0,6.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Jett,Duelist
Bazzi,Munchkin,GES,T1,2.0,4.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Fade,Initiator
Sayaplayer,AYRIN,T1,GES,2.0,1.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,lose,Jett,Duelist
Sayaplayer,WRONSKI,T1,GES,3.0,2.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,lose,Jett,Duelist
xeta,WRONSKI,T1,GES,4.0,4.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,lose,Sova,Initiator
Carpe,WRONSKI,T1,GES,1.0,2.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,lose,Breach,Initiator
Munchkin,WRONSKI,T1,GES,2.0,2.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,lose,Killjoy,Sentinel
Sayaplayer,t3xture,T1,GES,4.0,3.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,lose,Jett,Duelist
xeta,t3xture,T1,GES,3.0,1.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,lose,Sova,Initiator
Carpe,t3xture,T1,GES,2.0,5.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,lose,Breach,Initiator
Munchkin,t3xture,T1,GES,2.0,4.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,lose,Killjoy,Sentinel
Sayaplayer,Bazzi,T1,GES,1.0,5.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,lose,Jett,Duelist
xeta,Bazzi,T1,GES,3.0,2.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,lose,Sova,Initiator
AYRIN,Sayaplayer,GES,T1,1.0,2.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,win,Killjoy,Sentinel
WRONSKI,Sayaplayer,GES,T1,2.0,3.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,win,Kayo,Initiator
t3xture,Sayaplayer,GES,T1,3.0,4.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,win,Jett,Duelist
Bazzi,Sayaplayer,GES,T1,5.0,1.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,win,Skye,Initiator
WRONSKI,xeta,GES,T1,4.0,4.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,win,Kayo,Initiator
